"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-01","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-02","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-03","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-04","0.01",",,N",,
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-05","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-06","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-07","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-08","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-09","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-10","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-11","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-12","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-13","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-14","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-15","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-16","0.00",",,N","0.0",",,N"
"US1CARV0002","IDYLLWILD 1.8 NW, CA US","33.763056","-116.735","1927.9","2009-01-17","0.00",",,N","0.0",",,N"
